#,Player,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,EFF,AST/TOV,STL/TOV
1,James Harden,HOU,68,2483,2335,672,1514,44.4,299,843,35.5,692,800,86.5,70,376,446,512,125,60,308,227,2220,1.66,0.41
2,Damian Lillard,POR,66,2474,1978,624,1349,46.3,270,674,40.1,460,518,88.8,33,251,284,530,70,22,194,114,1907,2.73,0.36
3,Devin Booker,PHX,70,2512,1863,627,1283,48.9,141,398,35.4,468,509,91.9,29,268,297,456,49,18,264,213,1722,1.73,0.19
4,Giannis Antetokounmpo,MIL,63,1917,1857,685,1238,55.3,89,293,30.4,398,629,63.3,140,716,856,354,61,66,230,195,2180,1.54,0.27
5,Trae Young,ATL,60,2120,1778,546,1249,43.7,205,568,36.1,481,559,86.0,32,223,255,560,65,8,289,104,1596,1.94,0.23
6,Luka Doncic,DAL,61,2047,1759,581,1255,46.3,171,541,31.6,426,562,75.8,78,495,573,538,62,14,260,153,1876,2.07,0.24
7,Bradley Beal,WAS,57,2053,1741,593,1303,45.5,170,481,35.3,385,457,84.2,52,190,242,347,71,23,194,126,1448,1.79,0.37
8,LeBron James,LAL,67,2316,1698,643,1303,49.3,148,425,34.8,264,381,69.3,66,459,525,684,78,36,261,118,1983,2.62,0.30
9,Donovan Mitchell,UTA,69,2364,1655,602,1342,44.9,173,473,36.6,278,322,86.3,53,251,304,294,70,14,184,172,1369,1.60,0.38
10,Anthony Davis,LAL,62,2131,1618,551,1096,50.3,72,218,33.0,444,525,84.6,142,435,577,200,91,143,154,156,1849,1.30,0.59
11,CJ McCollum,POR,70,2557,1556,611,1356,45.1,194,512,37.9,140,185,75.7,46,251,297,310,54,42,127,183,1342,2.44,0.42
12,Russell Westbrook,HOU,57,2049,1553,604,1281,47.2,55,213,25.8,290,380,76.3,100,351,451,401,93,20,255,200,1496,1.57,0.36
13,Jayson Tatum,BOS,66,2265,1547,552,1226,45.0,189,469,40.3,254,313,81.2,64,396,460,200,93,57,155,136,1469,1.29,0.60
14,Kawhi Leonard,LAC,57,1848,1543,532,1133,47.0,123,325,37.8,356,402,88.6,54,348,402,280,103,33,149,113,1565,1.88,0.69
15,Zach LaVine,CHI,60,2085,1530,539,1199,45.0,184,484,38.0,268,334,80.2,41,248,289,254,88,28,206,131,1257,1.23,0.43
16,DeMar DeRozan,SAS,68,2316,1504,557,1049,53.1,9,35,25.7,381,451,84.5,44,331,375,380,70,20,164,180,1623,2.32,0.43
17,Brandon Ingram,NOP,62,2103,1477,507,1096,46.3,150,384,39.1,313,368,85.1,51,329,380,259,61,38,189,179,1382,1.37,0.32
18,Nikola Jokic,DEN,73,2335,1456,565,1071,52.8,80,255,31.4,246,301,81.7,166,545,711,512,85,44,226,222,2021,2.27,0.38
19,Tobias Harris,PHI,72,2469,1411,553,1173,47.1,131,357,36.7,174,216,80.6,69,426,495,227,53,40,104,165,1460,2.18,0.51
20,Buddy Hield,SAC,72,2216,1382,498,1162,42.9,271,688,39.4,115,136,84.6,57,271,328,213,66,17,168,165,1153,1.27,0.39
21,Pascal Siakam,TOR,60,2110,1371,500,1104,45.3,131,365,35.9,240,303,79.2,64,375,439,207,61,53,148,170,1316,1.40,0.41
22,Collin Sexton,CLE,65,2143,1349,513,1086,47.2,97,255,38.0,226,267,84.6,61,143,204,192,65,7,158,142,1045,1.22,0.41
23,Shai Gilgeous-Alexander,OKC,70,2428,1331,478,1015,47.1,87,251,34.7,288,357,80.7,47,365,412,232,79,47,134,117,1361,1.73,0.59
24,T.J. Warren,IND,67,2202,1326,534,997,53.6,91,226,40.3,167,204,81.9,68,212,280,99,78,34,84,187,1233,1.18,0.93
25,Spencer Dinwiddie,BKN,64,1994,1318,424,1021,41.5,123,400,30.8,347,446,77.8,32,189,221,432,40,21,174,180,1162,2.48,0.23
26,Khris Middleton,MIL,62,1853,1297,471,947,49.7,147,354,41.5,208,227,91.6,44,338,382,265,53,7,137,142,1372,1.93,0.39
27,Bojan Bogdanovic,UTA,63,2083,1275,418,935,44.7,189,457,41.4,250,277,90.3,39,220,259,131,34,7,159,110,1003,0.82,0.21
28,Julius Randle,NYK,64,2080,1248,463,1006,46.0,64,231,27.7,258,352,73.3,151,471,622,198,51,22,193,178,1311,1.03,0.26
29,Chris Paul,OKC,70,2208,1232,434,887,48.9,111,304,36.5,253,279,90.7,26,323,349,472,111,11,161,158,1535,2.93,0.69
30,Dennis Schroder,OKC,65,1999,1229,453,965,46.9,125,325,38.5,198,236,83.9,19,217,236,262,45,14,166,146,1070,1.58,0.27
31,Evan Fournier,ORL,66,2076,1221,434,929,46.7,173,434,39.9,180,220,81.8,18,153,171,209,71,15,125,161,1027,1.67,0.57
32,Nikola Vucevic,ORL,62,1998,1215,493,1033,47.7,98,289,33.9,131,167,78.4,140,533,673,222,54,47,88,135,1547,2.52,0.61
33,Ja Morant,MEM,67,2074,1193,447,937,47.7,60,179,33.5,239,308,77.6,51,208,259,488,58,18,220,110,1237,2.22,0.26
34,Lou Williams,LAC,65,1864,1185,391,936,41.8,111,315,35.2,292,339,86.1,31,170,201,365,43,12,182,80,1032,2.00,0.24
35,Dillon Brooks,MEM,73,2112,1181,435,1068,40.7,147,411,35.8,164,203,80.8,68,175,243,150,63,27,124,278,868,1.21,0.51
36,Andrew Wiggins,GSW,54,1859,1175,437,978,44.7,111,334,33.2,190,268,70.9,66,208,274,198,45,53,132,127,994,1.50,0.34
37,Montrezl Harrell,LAC,63,1749,1173,471,812,58.0,0,18,0.0,231,351,65.8,163,282,445,107,39,72,108,146,1267,0.99,0.36
38,Joel Embiid,PHI,51,1506,1172,382,801,47.7,57,172,33.1,351,435,80.7,141,452,593,152,45,65,159,174,1365,0.96,0.28
39,Jrue Holiday,NOP,61,2117,1167,458,1006,45.5,122,346,35.3,129,182,70.9,77,216,293,408,99,48,184,145,1230,2.22,0.54
40,Kristaps Porzingis,DAL,57,1814,1164,398,932,42.7,142,403,35.2,226,283,79.9,100,440,540,102,41,115,92,185,1279,1.11,0.45
41,Danilo Gallinari,OKC,62,1834,1160,358,817,43.8,178,439,40.5,266,298,89.3,34,288,322,119,42,5,76,75,1081,1.57,0.55
42,Jaylen Brown,BOS,57,1934,1159,427,887,48.1,129,338,38.2,176,243,72.4,62,302,364,118,65,20,125,167,1074,0.94,0.52
43,Jimmy Butler,MIA,58,1959,1157,345,758,45.5,29,119,24.4,438,525,83.4,106,280,386,350,103,32,127,81,1401,2.76,0.81
44,Domantas Sabonis,IND,62,2159,1147,458,848,54.0,17,67,25.4,214,296,72.3,189,582,771,310,47,30,170,195,1663,1.82,0.28
45,Bam Adebayo,MIA,72,2417,1146,440,790,55.7,2,14,14.3,264,382,69.1,176,559,735,368,82,93,204,182,1752,1.80,0.40
46,Devonte' Graham,CHA,63,2211,1145,368,963,38.2,218,585,37.3,191,233,82.0,42,170,212,471,62,15,181,115,1087,2.60,0.34
