#,Player,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,EFF,AST/TOV,STL/TOV
22,Jrue Holiday,PHI,78,2926,1383,555,1288,43.1,91,247,36.8,182,242,75.2,89,240,329,625,123,32,292,170,1407,2.14,0.42
23,Paul George,IND,79,2972,1377,493,1176,41.9,170,469,36.2,221,274,80.7,88,515,603,327,143,51,233,227,1532,1.40,0.61
24,Rudy Gay,TOR,75,2687,1366,521,1253,41.6,84,260,32.3,240,295,81.4,99,362,461,202,113,53,198,182,1210,1.02,0.57
25,Klay Thompson,GSW,82,2936,1359,508,1205,42.2,211,526,40.1,132,157,84.1,32,274,306,183,86,45,157,237,1100,1.17,0.55
26,Tony Parker,SAS,66,2174,1341,519,995,52.2,24,68,35.3,279,330,84.5,18,180,198,499,54,6,170,92,1401,2.94,0.32
27,Josh Smith,ATL,76,2683,1327,550,1182,46.5,61,201,30.3,166,321,51.7,133,506,639,321,94,136,226,175,1504,1.42,0.42
28,Kyrie Irving,CLE,59,2048,1325,484,1070,45.2,109,279,39.1,248,290,85.5,34,182,216,350,89,21,191,146,1182,1.83,0.47
29,Ryan Anderson,NOH,81,2503,1309,472,1115,42.3,213,557,38.2,152,180,84.4,191,328,519,97,42,31,97,179,1230,1.00,0.43
30,Greg Monroe,DET,81,2687,1298,514,1058,48.6,0,4,0.0,270,392,68.9,236,541,777,281,105,55,234,190,1616,1.20,0.45
31,Dwight Howard,LAL,76,2722,1296,470,813,57.8,1,6,16.7,355,721,49.2,251,694,945,108,84,186,225,291,1685,0.48,0.37
32,Al Horford,ATL,74,2756,1289,576,1060,54.3,3,6,50.0,134,208,64.4,195,562,757,240,78,78,147,163,1737,1.63,0.53
33,Carlos Boozer,CHI,79,2546,1281,544,1140,47.7,0,2,0.0,193,264,73.1,175,596,771,179,66,28,176,239,1482,1.02,0.38
34,DeMarcus Cousins,SAC,75,2289,1280,482,1036,46.5,4,22,18.2,312,423,73.8,222,524,746,199,108,55,225,269,1498,0.88,0.48
35,Jamal Crawford,LAC,76,2230,1255,445,1016,43.8,149,396,37.6,216,248,87.1,22,106,128,193,79,13,146,71,919,1.32,0.54
35,O.J. Mayo,DAL,82,2913,1255,461,1026,44.9,142,349,40.7,191,233,82.0,36,255,291,361,93,23,210,195,1206,1.72,0.44
37,David West,IND,73,2435,1250,502,1009,49.8,4,19,21.1,242,315,76.8,145,418,563,213,74,69,157,149,1432,1.36,0.47
38,Luol Deng,CHI,75,2903,1237,466,1093,42.6,75,233,32.2,230,282,81.6,162,314,476,222,81,32,144,105,1225,1.54,0.56
39,Chris Bosh,MIA,74,2454,1232,485,907,53.5,21,74,28.4,241,302,79.8,131,370,501,123,66,101,128,168,1412,0.96,0.52
40,Tim Duncan,SAS,69,2078,1227,490,976,50.2,2,7,28.6,245,300,81.7,124,562,686,184,50,183,147,117,1642,1.25,0.34
41,Ty Lawson,DEN,73,2513,1216,448,971,46.1,85,232,36.6,235,311,75.6,36,162,198,501,107,8,182,135,1249,2.75,0.59
42,Chris Paul,LAC,70,2335,1186,412,856,48.1,76,232,32.8,286,323,88.5,53,209,262,678,169,10,159,143,1665,4.26,1.06
43,Chandler Parsons,HOU,76,2758,1177,456,939,48.6,152,395,38.5,113,155,72.9,79,325,404,269,75,32,147,148,1285,1.83,0.51
44,Joe Johnson,BKN,72,2642,1170,445,1052,42.3,148,395,37.5,132,161,82.0,53,165,218,253,49,14,123,99,945,2.06,0.40
45,Zach Randolph,MEM,76,2607,1169,471,1024,46.0,2,23,8.7,225,300,75.0,310,544,854,108,61,31,150,180,1445,0.72,0.41
46,Mike Conley,MEM,80,2757,1168,414,940,44.0,106,293,36.2,234,282,83.0,43,182,225,487,174,24,189,171,1315,2.58,0.92
47,Jeff Teague,ATL,80,2628,1166,439,974,45.1,89,248,35.9,199,226,88.1,25,155,180,579,117,28,230,181,1278,2.52,0.51
48,Danilo Gallinari,DEN,71,2309,1149,364,871,41.8,135,362,37.3,286,348,82.2,65,302,367,176,64,36,111,130,1112,1.59,0.58
49,Paul Millsap,UTA,78,2375,1135,429,875,49.0,13,39,33.3,264,356,74.2,177,377,554,201,102,80,138,232,1396,1.46,0.74
50,Goran Dragic,PHX,77,2581,1134,401,906,44.3,88,276,31.9,244,326,74.8,60,178,238,569,124,26,212,214,1292,2.68,0.58
