#,Player,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,EFF,AST/TOV,STL/TOV
1,Kevin Durant,OKC,81,3119,2280,731,1433,51.0,139,334,41.6,679,750,90.5,46,594,640,374,116,105,280,143,2462,1.34,0.41
2,Kobe Bryant,LAL,78,3013,2133,738,1595,46.3,132,407,32.4,525,626,83.9,66,367,433,469,106,25,287,173,1921,1.63,0.37
3,LeBron James,MIA,76,2877,2036,765,1354,56.5,103,254,40.6,403,535,75.3,97,513,610,551,129,67,226,110,2446,2.44,0.57
4,James Harden,HOU,78,2985,2023,585,1337,43.8,179,486,36.8,674,792,85.1,62,317,379,455,142,38,295,178,1872,1.54,0.48
5,Carmelo Anthony,NYK,67,2482,1920,669,1489,44.9,157,414,37.9,425,512,83.0,134,326,460,171,52,32,175,205,1553,0.98,0.30
6,Russell Westbrook,OKC,82,2861,1903,673,1535,43.8,97,300,32.3,460,575,80.0,111,317,428,607,145,24,273,189,1857,2.22,0.53
7,Stephen Curry,GSW,78,2983,1786,626,1388,45.1,272,600,45.3,262,291,90.0,59,255,314,539,126,12,240,198,1746,2.25,0.53
8,Monta Ellis,MIL,82,3076,1577,597,1436,41.6,94,328,28.7,289,374,77.3,45,271,316,496,169,36,254,164,1416,1.95,0.67
9,Damian Lillard,POR,82,3167,1562,553,1288,42.9,185,503,36.8,271,321,84.4,42,215,257,531,74,19,243,172,1415,2.19,0.30
10,LaMarcus Aldridge,POR,74,2790,1560,638,1318,48.4,2,14,14.3,282,348,81.0,175,495,670,192,62,91,143,187,1686,1.34,0.43
11,DeMar DeRozan,TOR,82,3013,1485,548,1231,44.5,34,120,28.3,355,427,83.1,48,272,320,204,76,24,151,173,1203,1.35,0.50
12,Deron Williams,BKN,78,2842,1476,495,1124,44.0,169,447,37.8,317,369,85.9,29,203,232,604,75,30,218,194,1518,2.77,0.34
13,Dwyane Wade,MIA,69,2391,1463,569,1093,52.1,17,66,25.8,308,425,72.5,86,258,344,352,128,56,194,140,1508,1.81,0.66
14,David Lee,GSW,79,2907,1459,602,1160,51.9,0,4,0.0,255,320,79.7,218,668,886,279,67,22,207,246,1883,1.35,0.32
15,Kemba Walker,CHA,82,2859,1455,526,1244,42.3,107,332,32.2,296,371,79.8,60,223,283,471,160,31,200,153,1407,2.35,0.80
16,JR Smith,NYK,80,2678,1446,527,1249,42.2,155,436,35.6,237,311,76.2,64,361,425,218,100,24,134,226,1283,1.63,0.75
17,Blake Griffin,LAC,80,2598,1440,577,1072,53.8,5,28,17.9,281,426,66.0,186,476,662,299,97,50,185,231,1723,1.62,0.52
18,Brook Lopez,BKN,74,2253,1437,570,1094,52.1,0,1,0.0,297,392,75.8,208,304,512,70,33,154,131,152,1456,0.53,0.25
19,Paul Pierce,BOS,77,2575,1430,476,1092,43.6,145,382,38.0,333,423,78.7,45,442,487,370,84,30,214,210,1481,1.73,0.39
20,Brandon Jennings,MIL,80,2897,1397,497,1247,39.9,173,461,37.5,230,281,81.9,59,187,246,521,125,10,203,155,1295,2.57,0.62
21,Al Jefferson,UTA,78,2578,1391,611,1236,49.4,2,17,11.8,167,217,77.0,156,564,720,164,80,89,105,170,1664,1.56,0.76
