#,Player,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,EFF,AST/TOV,STL/TOV
32,Andre Drummond,DET,81,2666,1314,552,1060,52.1,2,6,33.3,208,586,35.5,395,803,1198,67,119,112,155,245,1769,0.43,0.77
33,Al Horford,ATL,82,2631,1249,529,1048,50.5,88,256,34.4,103,129,79.8,148,448,596,263,68,121,107,163,1645,2.46,0.64
34,Jeff Teague,ATL,79,2255,1239,434,988,43.9,110,274,40.1,261,312,83.7,33,181,214,470,97,24,218,167,1221,2.16,0.45
35,Kevin Love,CLE,77,2424,1234,409,977,41.9,158,439,36.0,258,314,82.2,149,613,762,185,58,41,142,159,1514,1.30,0.41
36,JJ Redick,LAC,75,2097,1226,422,880,48.0,200,421,47.5,182,205,88.8,10,129,139,106,42,5,78,135,959,1.36,0.54
37,Jordan Clarkson,LAL,79,2552,1225,475,1098,43.3,111,320,34.7,164,204,80.4,93,220,313,192,88,7,135,168,1027,1.42,0.65
38,Evan Fournier,ORL,79,2566,1213,429,929,46.2,156,390,40.0,199,238,83.6,33,192,225,214,96,2,133,214,1078,1.61,0.72
39,Greg Monroe,MIL,79,2314,1210,491,941,52.2,0,1,0.0,228,308,74.0,218,478,696,178,72,67,129,163,1564,1.38,0.56
40,Rudy Gay,SAC,70,2379,1204,466,1007,46.3,74,215,34.4,198,254,78.0,103,353,456,120,100,51,139,184,1195,0.86,0.72
41,Pau Gasol,CHI,72,2291,1187,467,995,46.9,24,69,34.8,229,289,79.2,155,638,793,294,42,146,164,148,1710,1.79,0.26
42,Nikola Vucevic,ORL,65,2037,1181,533,1046,51.0,2,9,22.2,113,150,75.3,174,402,576,179,53,70,123,173,1386,1.46,0.43
43,Will Barton,DEN,82,2353,1178,425,983,43.2,112,325,34.5,216,268,80.6,59,417,476,203,71,39,139,147,1218,1.46,0.51
44,Kobe Bryant,LAL,66,1863,1161,398,1113,35.8,133,467,28.5,232,281,82.6,41,206,247,184,62,13,129,115,774,1.43,0.48
45,Avery Bradley,BOS,76,2536,1155,456,1019,44.7,147,407,36.1,96,123,78.0,48,172,220,158,117,19,109,164,970,1.45,1.07
46,Victor Oladipo,ORL,72,2379,1153,425,970,43.8,98,282,34.8,205,247,83.0,48,297,345,282,116,54,153,174,1210,1.84,0.76
47,Zach LaVine,MIN,82,2294,1150,433,959,45.2,123,316,38.9,161,203,79.3,27,201,228,251,69,17,155,193,992,1.62,0.45
48,Rodney Hood,UTA,79,2541,1149,408,972,42.0,161,449,35.9,172,200,86.0,38,229,267,213,73,16,125,202,1001,1.70,0.58
49,Draymond Green,GSW,81,2808,1131,401,819,49.0,100,258,38.8,229,329,69.6,134,635,769,598,119,113,259,240,1953,2.31,0.46
49,Marcus Morris Sr.,DET,80,2856,1131,410,945,43.4,108,298,36.2,203,271,74.9,91,313,404,201,67,23,140,170,1083,1.44,0.48
