#,Player,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,EFF,AST/TOV,STL/TOV
1,Kevin Durant,OKC,81,3122,2593,849,1688,50.3,192,491,39.1,703,805,87.3,58,540,598,445,103,59,285,174,2572,1.56,0.36
2,Carmelo Anthony,NYK,77,2982,2112,743,1643,45.2,167,415,40.2,459,541,84.8,145,477,622,242,95,51,198,224,1942,1.22,0.48
3,LeBron James,MIA,77,2902,2089,767,1353,56.7,116,306,37.9,439,585,75.0,81,452,533,488,121,26,270,126,2255,1.81,0.45
4,Kevin Love,MIN,77,2797,2010,650,1421,45.7,190,505,37.6,520,633,82.1,224,739,963,341,59,35,196,136,2328,1.74,0.30
5,Blake Griffin,LAC,80,2863,1930,718,1359,52.8,12,44,27.3,482,674,71.5,192,565,757,309,92,51,224,265,2082,1.38,0.41
6,Stephen Curry,GSW,78,2846,1873,652,1383,47.1,261,615,42.4,308,348,88.5,46,288,334,666,128,14,294,194,1950,2.27,0.43
7,James Harden,HOU,73,2777,1851,549,1205,45.6,177,483,36.6,576,665,86.6,61,283,344,446,115,29,265,177,1775,1.68,0.43
8,DeMar DeRozan,TOR,79,3017,1791,604,1407,42.9,64,210,30.5,519,630,82.4,51,292,343,313,86,28,176,197,1471,1.78,0.49
9,Paul George,IND,80,2898,1737,577,1362,42.4,182,500,36.4,401,464,86.4,64,478,542,283,151,22,224,198,1663,1.26,0.67
10,Dirk Nowitzki,DAL,80,2628,1735,633,1273,49.7,131,329,39.8,338,376,89.9,40,458,498,216,73,45,117,165,1772,1.85,0.62
11,Damian Lillard,POR,82,2937,1695,553,1304,42.4,218,554,39.4,371,426,87.1,35,253,288,457,64,22,193,197,1527,2.37,0.33
12,DeMarcus Cousins,SAC,71,2298,1614,591,1191,49.6,0,7,0.0,432,595,72.6,218,613,831,207,109,91,251,270,1838,0.82,0.43
13,LaMarcus Aldridge,POR,69,2499,1603,652,1423,45.8,3,15,20.0,296,360,82.2,166,599,765,178,63,68,123,147,1719,1.45,0.51
14,Al Jefferson,CHA,73,2553,1594,700,1376,50.9,3,15,20.0,191,277,69.0,156,636,792,155,67,79,124,176,1801,1.25,0.54
15,John Wall,WAS,82,2980,1583,579,1337,43.3,108,308,35.1,317,394,80.5,38,295,333,721,149,40,295,219,1696,2.44,0.51
16,Monta Ellis,DAL,82,3023,1560,576,1278,45.1,69,209,33.0,339,430,78.8,38,257,295,471,141,23,264,197,1433,1.78,0.53
17,Goran Dragic,PHX,76,2668,1542,552,1093,50.5,122,299,40.8,316,416,76.0,69,176,245,447,104,22,213,206,1506,2.10,0.49
18,Klay Thompson,GSW,81,2868,1488,559,1259,44.4,223,535,41.7,147,185,79.5,38,211,249,181,74,37,135,234,1156,1.34,0.55
19,Kyrie Irving,CLE,71,2496,1478,532,1237,43.0,123,344,35.8,291,338,86.1,52,207,259,433,108,23,190,163,1359,2.28,0.57
20,Isaiah Thomas,SAC,72,2497,1465,496,1096,45.3,127,364,34.9,346,407,85.0,47,163,210,454,93,8,213,185,1356,2.13,0.44
21,Rudy Gay,SAC,73,2531,1457,537,1179,45.5,65,197,33.0,318,387,82.2,113,324,437,209,95,56,224,171,1319,0.93,0.42
22,Kyle Lowry,TOR,79,2862,1417,457,1080,42.3,190,500,38.0,313,385,81.3,88,281,369,586,121,15,194,267,1619,3.02,0.62
22,Thaddeus Young,PHI,79,2718,1417,582,1283,45.4,90,292,30.8,163,229,71.2,166,310,476,182,167,36,165,213,1346,1.10,1.01
24,Anthony Davis,NOP,67,2358,1394,522,1005,51.9,2,9,22.2,348,440,79.1,207,466,673,105,89,189,109,200,1766,0.96,0.82
25,Jeff Green,BOS,82,2805,1382,482,1171,41.2,135,396,34.1,283,356,79.5,54,326,380,138,57,47,165,180,1077,0.84,0.34
26,Zach Randolph,MEM,79,2705,1372,560,1198,46.7,2,20,10.0,250,337,74.2,265,530,795,200,54,23,183,210,1536,1.09,0.29
27,Wesley Matthews,POR,82,2780,1343,445,1009,44.1,201,511,39.3,252,301,83.7,51,238,289,197,76,14,110,176,1196,1.79,0.69
28,Arron Afflalo,ORL,73,2552,1330,464,1011,45.9,128,300,42.7,274,336,81.5,32,230,262,248,35,3,146,136,1123,1.70,0.24
29,Paul Millsap,ATL,74,2482,1328,483,1047,46.1,76,212,35.8,286,391,73.1,154,473,627,232,129,78,185,210,1540,1.25,0.70
30,Jeff Teague,ATL,79,2542,1304,456,1040,43.8,74,225,32.9,318,376,84.6,34,174,208,528,89,17,232,158,1272,2.28,0.38
31,Kevin Martin,MIN,68,2177,1298,440,1023,43.0,115,297,38.7,303,340,89.1,34,169,203,121,66,6,106,123,968,1.14,0.62
32,Dwight Howard,HOU,71,2396,1297,473,800,59.1,2,7,28.6,349,638,54.7,231,635,866,131,60,128,229,240,1637,0.57,0.26
33,Gerald Green,PHX,82,2330,1295,448,1006,44.5,204,510,40.0,195,230,84.8,48,227,275,122,70,42,145,220,1066,0.84,0.48
34,Brandon Knight,MIL,72,2400,1291,461,1092,42.2,110,338,32.5,259,323,80.2,46,209,255,352,69,17,188,146,1101,1.87,0.37
35,Kemba Walker,CHA,73,2614,1289,449,1143,39.3,109,327,33.3,282,337,83.7,39,267,306,447,86,32,169,128,1242,2.65,0.51
36,Jamal Crawford,LAC,69,2094,1282,421,1011,41.6,161,446,36.1,279,322,86.6,34,124,158,223,59,12,135,120,966,1.65,0.44
37,Chris Bosh,MIA,79,2531,1281,492,953,51.6,74,218,33.9,223,272,82.0,98,424,522,87,80,78,125,192,1413,0.70,0.64
38,Josh Smith,DET,77,2730,1264,517,1233,41.9,70,265,26.4,160,301,53.2,102,418,520,252,105,110,199,197,1195,1.27,0.53
39,David Lee,GSW,69,2288,1257,513,981,52.3,0,1,0.0,231,296,78.0,182,461,643,147,48,26,152,206,1436,0.97,0.32
40,Mike Conley,MEM,73,2446,1256,463,1030,45.0,105,291,36.1,225,276,81.5,41,172,213,441,110,13,150,141,1265,2.94,0.73
41,Bradley Beal,WAS,73,2530,1249,481,1149,41.9,138,343,40.2,149,189,78.8,54,219,273,243,71,18,128,153,1018,1.90,0.56
41,Greg Monroe,DET,82,2690,1249,504,1015,49.7,0,1,0.0,241,367,65.7,256,504,760,171,91,47,166,205,1515,1.03,0.55
43,Gordon Hayward,UTA,77,2800,1248,426,1032,41.3,85,280,30.4,311,381,81.6,62,329,391,400,110,40,212,155,1301,1.89,0.52
44,Joe Johnson,BKN,79,2575,1245,462,1018,45.4,162,404,40.1,159,195,81.5,48,222,270,216,47,10,120,129,1076,1.80,0.39
45,Brandon Jennings,DET,80,2728,1241,423,1135,37.3,154,457,33.7,241,321,75.1,59,185,244,609,101,8,215,157,1196,2.83,0.47
46,Serge Ibaka,OKC,81,2666,1227,524,978,53.6,23,60,38.3,156,199,78.4,224,485,709,85,39,219,123,233,1659,0.69,0.32
47,Chandler Parsons,HOU,74,2783,1226,466,987,47.2,130,351,37.0,164,221,74.2,69,340,409,298,88,29,144,168,1328,2.07,0.61
48,Jodie Meeks,LAL,77,2556,1209,413,892,46.3,162,404,40.1,221,258,85.7,30,164,194,138,111,4,111,119,1029,1.24,1.00
