#,Player,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,EFF,AST/TOV,STL/TOV
1,Russell Westbrook,OKC,81,2802,2558,824,1941,42.5,200,583,34.3,710,840,84.5,137,727,864,840,132,31,438,190,2740,1.92,0.30
2,James Harden,HOU,81,2947,2356,674,1533,44.0,262,756,34.7,746,881,84.7,95,564,659,907,121,38,464,215,2623,1.96,0.26
3,Isaiah Thomas,BOS,76,2569,2199,682,1473,46.3,245,646,37.9,590,649,90.9,42,162,204,448,70,13,210,167,1874,2.13,0.33
4,Anthony Davis,NOP,75,2708,2099,770,1526,50.5,40,134,29.9,519,647,80.2,172,712,884,157,94,167,181,168,2336,0.87,0.52
5,Karl-Anthony Towns,MIN,82,3030,2061,802,1480,54.2,101,275,36.7,356,428,83.2,296,711,1007,220,56,103,212,241,2485,1.04,0.26
6,Damian Lillard,POR,75,2693,2024,661,1488,44.4,214,579,37.0,488,545,89.5,46,322,368,440,68,20,197,152,1839,2.23,0.34
7,DeMar DeRozan,TOR,74,2620,2020,721,1545,46.7,33,124,26.6,545,647,84.2,70,316,386,290,78,13,180,134,1681,1.61,0.43
8,Stephen Curry,GSW,79,2639,1999,675,1443,46.8,324,789,41.1,325,362,89.8,61,292,353,524,142,17,239,183,1991,2.19,0.59
9,LeBron James,CLE,74,2795,1954,736,1344,54.8,124,342,36.3,358,531,67.4,97,542,639,646,92,44,303,134,2291,2.13,0.30
10,DeMarcus Cousins,NOP,72,2465,1942,647,1432,45.2,131,363,36.1,517,670,77.2,152,642,794,332,100,93,269,278,2054,1.23,0.37
11,Andrew Wiggins,MIN,82,3048,1933,709,1570,45.2,103,289,35.6,412,542,76.0,102,226,328,189,82,30,187,183,1384,1.01,0.44
12,Kawhi Leonard,SAS,74,2475,1888,636,1312,48.5,147,387,38.0,469,533,88.0,80,350,430,260,133,55,154,122,1872,1.69,0.86
13,CJ McCollum,POR,80,2796,1837,692,1441,48.0,185,439,42.1,268,294,91.2,60,229,289,285,72,42,172,202,1578,1.66,0.42
14,Giannis Antetokounmpo,MIL,80,2845,1832,656,1259,52.1,49,180,27.2,471,612,77.0,142,558,700,434,131,151,234,246,2270,1.85,0.56
15,Kemba Walker,CHA,79,2739,1830,643,1449,44.4,240,602,39.9,304,359,84.7,45,263,308,434,85,22,168,119,1650,2.58,0.51
16,Jimmy Butler,CHI,76,2809,1816,570,1252,45.5,91,248,36.7,585,676,86.5,129,341,470,417,143,32,159,112,1946,2.62,0.90
16,Kyrie Irving,CLE,72,2525,1816,671,1420,47.3,177,441,40.1,297,328,90.5,52,178,230,418,83,24,180,157,1611,2.32,0.46
18,John Wall,WAS,78,2836,1805,647,1435,45.1,89,272,32.7,422,527,80.1,59,267,326,831,157,49,322,151,1953,2.58,0.49
19,Bradley Beal,WAS,77,2684,1779,637,1322,48.2,223,552,40.4,282,342,82.5,53,187,240,267,83,21,156,169,1489,1.71,0.53
20,Paul George,IND,75,2689,1775,622,1348,46.1,195,496,39.3,336,374,89.8,58,434,492,251,119,27,220,206,1680,1.14,0.54
21,Klay Thompson,GSW,78,2649,1742,644,1376,46.8,268,647,41.4,186,218,85.3,49,236,285,160,66,40,128,139,1401,1.25,0.52
22,Devin Booker,PHX,78,2731,1726,606,1431,42.3,147,405,36.3,367,441,83.2,46,203,249,268,72,21,241,242,1196,1.11,0.30
23,Carmelo Anthony,NYK,74,2538,1659,602,1389,43.3,151,421,35.9,304,365,83.3,62,376,438,213,60,34,153,198,1403,1.39,0.39
24,Gordon Hayward,UTA,73,2516,1601,545,1156,47.1,149,374,39.8,362,429,84.4,49,345,394,252,73,20,140,117,1522,1.80,0.52
25,Kevin Durant,GSW,62,2070,1555,551,1026,53.7,117,312,37.5,336,384,87.5,39,474,513,300,66,99,138,117,1872,2.17,0.48
26,Brook Lopez,BKN,75,2222,1539,555,1172,47.4,134,387,34.6,295,364,81.0,121,282,403,176,38,124,184,192,1410,0.96,0.21
27,Harrison Barnes,DAL,79,2804,1518,599,1280,46.8,78,222,35.1,242,281,86.1,93,301,394,116,65,15,102,128,1286,1.14,0.64
28,Goran Dragic,MIA,73,2459,1483,534,1124,47.5,117,289,40.5,298,377,79.0,62,217,279,423,89,13,212,199,1406,2.00,0.42
29,Marc Gasol,MEM,74,2531,1446,532,1160,45.9,104,268,38.8,278,332,83.7,60,404,464,338,67,99,166,171,1566,2.04,0.40
30,Lou Williams,HOU,81,1993,1421,428,998,42.9,163,446,36.5,402,457,88.0,26,176,202,239,80,20,160,92,1177,1.49,0.50
31,Mike Conley,MEM,69,2292,1415,464,1009,46.0,171,419,40.8,316,368,85.9,31,210,241,433,92,19,156,126,1447,2.78,0.59
32,Dennis Schroder,ATL,79,2485,1414,548,1214,45.1,100,294,34.0,218,255,85.5,42,206,248,499,74,16,258,149,1290,1.93,0.29
33,Eric Bledsoe,PHX,66,2176,1390,449,1034,43.4,104,310,33.5,388,458,84.7,52,268,320,418,91,31,224,164,1371,1.87,0.41
34,Kyle Lowry,TOR,60,2244,1344,426,918,46.4,193,468,41.2,299,365,81.9,48,238,286,417,88,19,173,170,1423,2.41,0.51
35,Tobias Harris,DET,82,2566,1321,511,1063,48.1,109,314,34.7,190,226,84.1,63,353,416,142,60,39,96,133,1294,1.48,0.63
36,Blake Griffin,LAC,61,2076,1316,479,971,49.3,38,113,33.6,320,421,76.0,112,385,497,300,57,22,142,157,1457,2.11,0.40
37,Hassan Whiteside,MIA,77,2513,1309,542,973,55.7,0,0,0.0,225,358,62.8,293,795,1088,57,57,161,154,226,1954,0.37,0.37
38,Jeff Teague,IND,82,2657,1254,402,909,44.2,90,252,35.7,360,415,86.7,33,297,330,639,100,32,216,165,1577,2.96,0.46
39,Paul Millsap,ATL,69,2343,1246,430,972,44.2,75,241,31.1,311,405,76.8,111,422,533,252,90,62,158,186,1389,1.59,0.57
40,LaMarcus Aldridge,SAS,72,2335,1243,500,1049,47.7,23,56,41.1,220,271,81.2,172,351,523,139,46,88,98,158,1341,1.42,0.47
41,Nikola Jokic,DEN,73,2038,1221,494,854,57.8,45,139,32.4,188,228,82.5,212,506,718,359,61,55,171,214,1843,2.10,0.36
42,Eric Gordon,HOU,75,2323,1217,412,1016,40.6,246,661,37.2,147,175,84.0,29,172,201,188,48,41,121,150,942,1.55,0.40
43,Jordan Clarkson,LAL,82,2397,1205,477,1071,44.5,117,356,32.9,134,168,79.8,49,197,246,213,88,8,164,150,968,1.30,0.54
44,Kristaps Porzingis,NYK,66,2164,1196,443,985,45.0,112,314,35.7,198,252,78.6,111,364,475,97,47,129,118,244,1230,0.82,0.40
45,JJ Redick,LAC,78,2198,1173,396,890,44.5,201,468,42.9,180,202,89.1,11,160,171,110,54,13,98,125,907,1.12,0.55
45,Myles Turner,IND,81,2541,1173,444,869,51.1,40,115,34.8,245,303,80.9,139,450,589,106,74,172,105,262,1526,1.01,0.70
45,Serge Ibaka,TOR,79,2422,1173,471,982,48.0,124,317,39.1,107,125,85.6,129,409,538,75,41,124,105,215,1317,0.71,0.39
48,Evan Fournier,ORL,68,2234,1167,408,930,43.9,128,360,35.6,223,277,80.5,44,165,209,202,66,4,141,180,931,1.43,0.47
49,Nicolas Batum,CHA,77,2617,1164,393,975,40.3,135,405,33.3,243,284,85.6,46,435,481,456,86,29,194,109,1399,2.35,0.44
50,Derrick Rose,NYK,64,2082,1154,460,977,47.1,13,60,21.7,221,253,87.4,66,180,246,283,44,17,147,84,1048,1.93,0.30
